2, 2.52298, 1.10488, 3.6288, 2.14796, 3.9156, 4.51859, 3.50655, 3.07134, 3.84445, 1.32227, 4.22266, 4.85198, 1.95913, 2.2334, 3.68681, 3.69059, 3.69173, 3.83671, 3.15067, 5.02378, 0.694853, -0.0268485, 3.18066, 3.42132, 5.34533, 2.67803, 2.63606, 1.48444, 4.18894, 3.00572, 4.42645, 2.65428, 3.37551, 3.08182, 3.12647, 3.91883, 4.31172, 1.75598, 2.72767, 3.08876, 
2, 3.09035, 1.07813, 2.93335, 2.33762, 2.80829, 3.26181, 3.06244, 3.7636, 3.03418, 3.91551, 2.49778, 3.86723, 1.93963, 2.73162, 1.84041, 2.00903, 1.96928, 4.35186, 1.28845, 2.75289, 1.74731, 3.5736, 3.67215, 1.57652, 0.783692, 3.02309, 1.87963, 2.75022, 1.87482, 3.5512, 2.91644, 2.68506, 3.15136, 2.1838, 2.44705, 1.92459, 3.4872, 1.47986, 3.26811, 3.56836, 
2, 3.38072, 3.58126, 2.64348, 2.72506, 2.14762, 1.91477, 3.96403, 5.82648, 2.36816, 3.58897, 2.58463, 2.34345, 2.27334, 1.97852, 2.98248, 0.284846, 3.01252, 3.50263, 3.42342, 3.19593, 2.20107, 3.49994, 3.15685, 2.70173, 4.76552, 2.10361, 4.04853, 2.59025, 2.9416, 3.75654, 1.2827, 2.81449, 3.24159, 4.25058, 3.30966, 3.37391, 4.88008, 3.60602, 3.55819, 4.54785, 
2, 3.69023, 3.80535, 2.16277, 3.20416, 4.3067, 3.96663, 2.09041, 2.68138, 3.92976, 1.28496, 5.84308, 3.21989, 3.92879, 3.87688, 1.31135, 1.62314, 2.04956, 3.44368, 3.30996, 2.07356, 2.8806, 3.6192, 4.22158, 3.27072, 2.08772, 4.38013, 4.29886, 2.76715, 1.92018, 1.26697, 1.55015, 3.07796, 2.87251, 3.51418, 3.51507, 2.75684, 4.14382, 1.79897, 3.63478, 3.08268, 
2, 2.22456, 4.14835, 3.746, 4.74031, 2.7698, 4.44191, 2.72298, 2.79675, 1.874, 3.43928, 1.40482, 3.10035, 4.42207, 3.25778, 2.63137, 4.78343, 3.50285, 2.47375, 4.97069, 3.20487, 3.21324, 3.38157, 2.8041, 4.05561, 2.82324, 2.14867, 4.50615, 2.97157, 2.90195, 3.0378, 3.3573, 3.19028, 2.91914, 2.67321, 2.12607, 2.65149, 1.87201, 2.57555, 4.19012, 3.0468, 
2, 0.912042, 2.97808, 3.05314, 1.51453, 3.19944, 1.68391, 2.73231, 2.00042, 2.58236, 4.37334, 2.54606, 2.51559, 4.58943, 3.61928, 3.39442, 4.3867, 2.84606, 2.84663, 3.74757, 2.76944, 2.02848, 1.66435, 2.11522, 3.25545, 0.890953, 2.71593, 4.60919, 2.55854, 2.11688, 2.45721, 2.74472, 2.59597, 3.6703, 2.68655, 2.59581, 1.592, 3.29053, 2.69302, 3.91988, 2.75107, 
2, 1.06029, 3.42238, 5.07646, 1.59659, 3.94694, 1.58678, 2.92226, 4.32049, 1.17446, 2.3697, 3.33932, 1.72169, 4.21536, 2.24513, 3.01069, 2.38756, 2.09928, 4.02643, 3.4132, 3.61269, 2.32111, 1.11794, 2.93682, 3.04449, 3.03018, 2.61065, 1.92406, 2.36251, 2.16133, 2.86811, 2.54888, 3.62443, 4.89753, 1.88482, 2.95547, 3.25604, 3.29777, 3.94272, 1.66631, 4.53599, 
2, 1.56847, 2.74978, 4.77942, 2.71151, 2.05901, 1.15002, 3.77211, 4.46769, 4.20721, 3.22065, 3.02636, 3.14809, 1.25045, 3.01643, 1.36181, 1.40617, 2.14828, 2.89307, 1.28222, 3.55874, 4.76561, 2.98497, 2.89683, 2.49153, 2.09096, 4.68773, 3.28557, 4.08792, 1.85317, 3.03742, 3.99724, 3.7454, 3.68755, 2.13451, 3.32273, 2.60612, 1.8515, 3.53473, 1.97891, 2.00168, 
1, 3.17635, 4.93425, 3.53062, 4.29304, 3.08948, 1.5822, 3.60478, 3.37528, 2.69835, 0.76903, 2.42382, 2.80245, 1.32466, 2.67707, 3.6178, 3.64745, 2.76771, 2.51301, 2.09013, 3.38626, 2.64975, 1.90867, 1.9423, 1.99567, 2.97167, 1.60044, 3.42764, 1.59791, 3.04776, 2.2996, 3.80557, 2.15124, 3.16316, 3.5218, 2.31819, 1.74885, 3.47961, 4.02664, 3.82092, 1.93362, 
2, 3.25136, 2.72646, 2.75288, 2.22969, 2.79197, 0.921806, 2.52167, 3.14536, 1.29197, 2.21937, 3.49724, 2.3418, 2.4841, 3.19133, 2.74642, 2.83879, 3.30462, 4.6898, 2.59558, 0.979228, 2.04316, 3.27667, 1.87936, 3.04194, 3.71797, 3.42032, 2.65566, 2.77858, 4.41247, 3.24997, 2.42836, 2.75074, 2.65114, 2.30859, 3.61908, 2.38016, 3.50663, 1.39891, 3.2613, 4.07596, 
